465,"Belfast International Airport","Belfast","United Kingdom","BFS","EGAA",54.6575012207,-6.2158298492399995,268,0,"E","Europe/London","airport",
466,"St Angelo Airport","Enniskillen","United Kingdom","ENK","EGAB",54.39889907836914,-7.651669979095459,155,0,"E","Europe/London","airport",
467,"George Best Belfast City Airport","Belfast","United Kingdom","BHD","EGAC",54.618099212646484,-5.872499942779541,15,0,"E","Europe/London","airport",
468,"City of Derry Airport","Londonderry","United Kingdom","LDY","EGAE",55.04280090332031,-7.161109924316406,22,0,"E","Europe/London","airport",
469,"Birmingham International Airport","Birmingham","United Kingdom","BHX","EGBB",52.453899383499994,-1.74802994728,327,0,"E","Europe/London","airport",
470,"Coventry Airport","Coventry","United Kingdom","CVT","EGBE",52.3697013855,-1.4797199964499999,267,0,"E","Europe/London","airport",
471,"Leicester Airport","Leicester","United Kingdom",,"EGBG",52.6077995300293,-1.03193998336792,469,0,"E","Europe/London","airport",
472,"Gloucestershire Airport","Golouchestershire","United Kingdom","GLO","EGBJ",51.89419937133789,-2.167220115661621,101,0,"E","Europe/London","airport",
474,"Wolverhampton Halfpenny Green Airport","Halfpenny Green","United Kingdom",,"EGBO",52.51750183105469,-2.2594399452209473,283,0,"E","Europe/London","airport",
475,"Cotswold Airport","Pailton","United Kingdom","GBA","EGBP",51.668095,-2.05694,433,0,"E","Europe/London","airport",
476,"Turweston Airport","Turweston","United Kingdom",,"EGBT",52.0407981873,-1.09555995464,448,0,"E","Europe/London","airport",
477,"Wellesbourne Mountford Airport","Wellesbourne","United Kingdom",,"EGBW",52.19219970703125,-1.6144399642944336,159,0,"E","Europe/London","airport",
478,"Manchester Airport","Manchester","United Kingdom","MAN","EGCC",53.35369873046875,-2.2749500274658203,257,0,"E","Europe/London","airport",
479,"Manchester Woodford Airport","Woodfort","United Kingdom",,"EGCD",53.3381,-2.14889,295,0,"E","Europe/London","airport",
480,"Royal Marines Base Chivenor Airport","Chivenor","United Kingdom",,"EGDC",51.08720016479492,-4.1503400802612305,27,0,"E","Europe/London","airport",
481,"Newquay Cornwall Airport","Newquai","United Kingdom","NQY","EGHQ",50.44060134887695,-4.995409965515137,390,0,"E","Europe/London","airport",
482,"RAF Lyneham","Lyneham","United Kingdom","LYE","EGDL",51.5051,-1.99343,513,0,"E","Europe/London","airport",
483,"MoD Boscombe Down Airport","Boscombe Down","United Kingdom",,"EGDM",51.152198791503906,-1.7474100589752197,407,0,"E","Europe/London","airport",
484,"RNAS Culdrose","Culdrose","United Kingdom",,"EGDR",50.08610153198242,-5.255710124969482,267,0,"E","Europe/London","airport",
485,"MoD St. Athan","St. Athan","United Kingdom",,"EGDX",51.4048,-3.43575,163,0,"E","Europe/London","airport",
486,"RNAS Yeovilton","Yeovilton","United Kingdom","YEO","EGDY",51.0093994140625,-2.638819932937622,75,0,"E","Europe/London","airport",
